split_threshold max_recursion_depth n time
10 0 100000 45024.1
10 1 100000 95718.9
10 2 100000 79581.4
10 3 100000 74842.1
10 4 100000 74784.5
10 5 100000 77420.5
10 6 100000 91405.1
10 7 100000 127962.6
10 8 100000 206303.7
10 9 100000 355706.8
10 10 100000 662679.1
35 0 100000 18370.8
35 1 100000 25506.1
35 2 100000 23573.7
35 3 100000 24639.7
35 4 100000 27089.0
35 5 100000 30654.0
35 6 100000 44005.6
35 7 100000 91694.4
35 8 100000 171767.4
35 9 100000 317509.6
35 10 100000 596058.9
60 0 100000 14528.8
60 1 100000 15225.4
60 2 100000 14890.9
60 3 100000 16062.2
60 4 100000 18490.7
60 5 100000 20993.0
60 6 100000 33003.9
60 7 100000 72254.7
60 8 100000 151199.6
60 9 100000 297666.9
60 10 100000 573212.2
85 0 100000 14452.2
85 1 100000 15041.8
85 2 100000 14787.4
85 3 100000 16022.4
85 4 100000 17450.3
85 5 100000 20493.5
85 6 100000 32642.0
85 7 100000 76414.7
85 8 100000 154805.9
85 9 100000 307290.3
85 10 100000 580769.6
110 0 100000 13547.7
110 1 100000 10922.8
110 2 100000 10869.8
110 3 100000 12446.9
110 4 100000 15670.1
110 5 100000 17800.2
110 6 100000 31084.0
110 7 100000 80480.5
110 8 100000 152763.0
110 9 100000 309373.9
110 10 100000 606446.9
135 0 100000 13640.0
135 1 100000 10968.4
135 2 100000 11002.7
135 3 100000 12826.5
135 4 100000 14405.4
135 5 100000 17846.4
135 6 100000 30388.3
135 7 100000 78511.3
135 8 100000 154466.7
135 9 100000 319918.2
135 10 100000 610737.5
160 0 100000 13552.6
160 1 100000 10966.7
160 2 100000 11100.5
160 3 100000 12372.7
160 4 100000 14578.5
160 5 100000 17264.8
160 6 100000 38388.4
160 7 100000 81863.7
160 8 100000 164725.0
160 9 100000 330053.0
160 10 100000 613151.8
185 0 100000 13565.3
185 1 100000 10903.2
185 2 100000 10829.8
185 3 100000 13428.6
185 4 100000 14910.3
185 5 100000 18444.9
185 6 100000 36186.8
185 7 100000 87278.8
185 8 100000 169598.8
185 9 100000 324029.9
185 10 100000 608621.7
210 0 100000 15333.1
210 1 100000 10637.3
210 2 100000 9735.3
210 3 100000 11666.4
210 4 100000 14561.2
210 5 100000 16879.6
210 6 100000 38800.6
210 7 100000 87894.5
210 8 100000 170071.6
210 9 100000 328164.9
210 10 100000 325185.2
235 0 100000 15272.2
235 1 100000 10669.8
235 2 100000 9946.1
235 3 100000 12636.9
235 4 100000 14088.1
235 5 100000 17705.7
235 6 100000 40179.7
235 7 100000 86453.1
235 8 100000 171640.8
235 9 100000 332161.9
235 10 100000 329782.9
260 0 100000 15269.1
260 1 100000 11682.8
260 2 100000 10987.4
260 3 100000 13274.5
260 4 100000 12956.5
260 5 100000 19756.9
260 6 100000 41201.6
260 7 100000 86931.7
260 8 100000 177747.6
260 9 100000 318418.4
260 10 100000 332146.4
285 0 100000 15221.5
285 1 100000 10649.8
285 2 100000 10083.6
285 3 100000 11645.5
285 4 100000 14859.8
285 5 100000 18409.8
285 6 100000 42151.5
285 7 100000 85832.4
285 8 100000 169869.8
285 9 100000 335539.0
285 10 100000 335521.0
310 0 100000 15320.6
310 1 100000 10618.8
310 2 100000 10064.4
310 3 100000 12062.5
310 4 100000 13619.4
310 5 100000 19562.2
310 6 100000 43812.0
310 7 100000 87010.4
310 8 100000 168617.9
310 9 100000 345980.0
310 10 100000 333596.4
335 0 100000 15239.7
335 1 100000 10910.2
335 2 100000 10114.2
335 3 100000 12749.5
335 4 100000 14034.1
335 5 100000 19016.6
335 6 100000 42864.7
335 7 100000 88344.2
335 8 100000 176501.7
335 9 100000 332596.5
335 10 100000 337808.4
360 0 100000 15271.3
360 1 100000 10608.3
360 2 100000 9859.6
360 3 100000 12308.7
360 4 100000 13951.7
360 5 100000 20533.7
360 6 100000 46164.7
360 7 100000 85812.3
360 8 100000 182844.5
360 9 100000 339698.0
360 10 100000 323445.6
385 0 100000 15277.8
385 1 100000 10722.3
385 2 100000 9428.1
385 3 100000 11978.9
385 4 100000 14301.1
385 5 100000 17711.9
385 6 100000 51187.7
385 7 100000 91103.5
385 8 100000 183509.2
385 9 100000 329284.3
385 10 100000 338850.9
410 0 100000 20436.4
410 1 100000 13019.0
410 2 100000 11103.9
410 3 100000 14849.7
410 4 100000 16128.3
410 5 100000 26239.6
410 6 100000 50005.4
410 7 100000 95539.4
410 8 100000 183693.8
410 9 100000 181496.6
410 10 100000 187359.8
435 0 100000 20349.0
435 1 100000 13014.8
435 2 100000 11516.9
435 3 100000 14181.9
435 4 100000 16759.1
435 5 100000 26813.0
435 6 100000 48969.2
435 7 100000 99184.0
435 8 100000 180982.7
435 9 100000 184205.6
435 10 100000 177555.7
460 0 100000 20407.5
460 1 100000 13660.3
460 2 100000 11362.6
460 3 100000 13427.8
460 4 100000 18393.6
460 5 100000 25849.5
460 6 100000 49711.1
460 7 100000 96347.4
460 8 100000 186121.2
460 9 100000 181067.6
460 10 100000 182098.0
485 0 100000 20428.4
485 1 100000 14240.1
485 2 100000 10545.8
485 3 100000 14014.3
485 4 100000 16280.9
485 5 100000 22950.0
485 6 100000 48076.1
485 7 100000 92389.8
485 8 100000 180040.4
485 9 100000 183816.5
485 10 100000 187410.5
510 0 100000 20425.2
510 1 100000 13150.4
510 2 100000 10694.7
510 3 100000 13356.5
510 4 100000 16438.5
510 5 100000 28679.9
510 6 100000 50992.0
510 7 100000 96821.0
510 8 100000 188122.7
510 9 100000 185948.0
510 10 100000 184344.1
535 0 100000 20436.6
535 1 100000 13092.7
535 2 100000 11095.7
535 3 100000 13975.8
535 4 100000 17794.9
535 5 100000 27083.8
535 6 100000 53062.1
535 7 100000 101239.0
535 8 100000 180485.5
535 9 100000 178569.7
535 10 100000 186355.2
560 0 100000 20424.9
560 1 100000 12948.3
560 2 100000 11003.3
560 3 100000 14039.4
560 4 100000 16582.2
560 5 100000 27762.4
560 6 100000 52066.4
560 7 100000 96348.9
560 8 100000 191688.0
560 9 100000 178598.6
560 10 100000 183847.6
585 0 100000 20390.4
585 1 100000 13049.9
585 2 100000 10476.4
585 3 100000 17157.7
585 4 100000 16216.0
585 5 100000 27541.1
585 6 100000 52931.8
585 7 100000 97808.7
585 8 100000 187866.8
585 9 100000 176646.2
585 10 100000 186289.0
610 0 100000 20617.0
610 1 100000 13051.4
610 2 100000 10962.7
610 3 100000 14679.8
610 4 100000 17719.6
610 5 100000 27817.0
610 6 100000 54847.4
610 7 100000 100792.8
610 8 100000 181471.8
610 9 100000 192574.8
610 10 100000 184687.2
635 0 100000 20405.4
635 1 100000 13042.1
635 2 100000 10721.8
635 3 100000 13414.4
635 4 100000 18301.7
635 5 100000 30639.6
635 6 100000 54910.4
635 7 100000 97064.6
635 8 100000 194809.2
635 9 100000 189267.9
635 10 100000 194578.8
660 0 100000 20396.9
660 1 100000 13083.3
660 2 100000 10794.0
660 3 100000 13697.2
660 4 100000 20042.7
660 5 100000 31844.9
660 6 100000 56063.8
660 7 100000 105166.1
660 8 100000 187342.7
660 9 100000 187047.1
660 10 100000 186868.8
685 0 100000 20373.3
685 1 100000 13006.9
685 2 100000 11070.5
685 3 100000 14243.4
685 4 100000 19961.0
685 5 100000 32037.9
685 6 100000 57211.2
685 7 100000 107391.3
685 8 100000 188658.9
685 9 100000 200443.1
685 10 100000 191076.9
710 0 100000 20360.9
710 1 100000 13159.6
710 2 100000 11827.6
710 3 100000 14737.9
710 4 100000 22299.5
710 5 100000 33252.8
710 6 100000 58714.4
710 7 100000 103576.2
710 8 100000 195413.8
710 9 100000 193597.9
710 10 100000 187720.7
735 0 100000 20383.6
735 1 100000 13096.5
735 2 100000 11380.2
735 3 100000 14702.1
735 4 100000 21707.6
735 5 100000 34207.0
735 6 100000 58296.1
735 7 100000 105828.1
735 8 100000 195868.5
735 9 100000 195474.0
735 10 100000 186118.9
760 0 100000 20434.9
760 1 100000 13065.3
760 2 100000 11474.7
760 3 100000 15046.7
760 4 100000 21201.4
760 5 100000 34919.8
760 6 100000 55608.7
760 7 100000 106011.9
760 8 100000 188532.4
760 9 100000 191105.8
760 10 100000 190667.8
785 0 100000 32311.0
785 1 100000 18764.5
785 2 100000 14495.9
785 3 100000 19102.4
785 4 100000 24713.5
785 5 100000 38084.5
785 6 100000 61122.9
785 7 100000 106472.8
785 8 100000 107274.1
785 9 100000 110142.2
785 10 100000 105947.5
810 0 100000 32137.2
810 1 100000 18768.8
810 2 100000 14209.3
810 3 100000 19895.6
810 4 100000 26037.3
810 5 100000 36639.8
810 6 100000 61084.0
