split_threshold max_recursion_depth n time
10 0 1000000 362951.7
10 1 1000000 732280.2
10 2 1000000 617302.6
10 3 1000000 557969.3
10 4 1000000 541905.9
10 5 1000000 535699.4
10 6 1000000 526456.3
10 7 1000000 524182.6
10 8 1000000 541936.0
10 9 1000000 598966.5
10 10 1000000 885245.6
35 0 1000000 154295.5
35 1 1000000 186897.4
35 2 1000000 169179.0
35 3 1000000 156642.2
35 4 1000000 152550.5
35 5 1000000 151781.9
35 6 1000000 157378.4
35 7 1000000 166340.1
35 8 1000000 195862.4
35 9 1000000 258578.0
35 10 1000000 535842.8
60 0 1000000 153896.7
60 1 1000000 177463.7
60 2 1000000 169286.8
60 3 1000000 157653.1
60 4 1000000 153517.9
60 5 1000000 151428.8
60 6 1000000 155931.2
60 7 1000000 167209.0
60 8 1000000 197546.5
60 9 1000000 262565.9
60 10 1000000 555552.6
85 0 1000000 129962.0
85 1 1000000 105140.2
85 2 1000000 97751.0
85 3 1000000 95580.1
85 4 1000000 95194.5
85 5 1000000 93336.2
85 6 1000000 99576.1
85 7 1000000 116720.8
85 8 1000000 141381.4
85 9 1000000 221701.7
85 10 1000000 504423.6
110 0 1000000 130041.3
110 1 1000000 105124.4
110 2 1000000 97759.0
110 3 1000000 95786.8
110 4 1000000 96303.0
110 5 1000000 92517.5
110 6 1000000 102891.7
110 7 1000000 116445.4
110 8 1000000 138868.8
110 9 1000000 217421.0
110 10 1000000 498995.3
135 0 1000000 138712.9
135 1 1000000 87304.8
135 2 1000000 66423.8
135 3 1000000 69580.6
135 4 1000000 73087.6
135 5 1000000 75104.5
135 6 1000000 83552.2
135 7 1000000 95057.4
135 8 1000000 124118.4
135 9 1000000 205683.5
135 10 1000000 498251.5
160 0 1000000 138986.6
160 1 1000000 87215.9
160 2 1000000 66067.7
160 3 1000000 68935.1
160 4 1000000 73685.3
160 5 1000000 74805.4
160 6 1000000 82166.0
160 7 1000000 94809.9
160 8 1000000 124246.3
160 9 1000000 203400.4
160 10 1000000 489234.9
185 0 1000000 138612.6
185 1 1000000 86991.5
185 2 1000000 66197.7
185 3 1000000 69774.4
185 4 1000000 72682.5
185 5 1000000 73579.8
185 6 1000000 79720.9
185 7 1000000 95627.1
185 8 1000000 125496.0
185 9 1000000 214093.2
185 10 1000000 499945.8
210 0 1000000 138614.1
210 1 1000000 87199.2
210 2 1000000 67147.2
210 3 1000000 69528.8
210 4 1000000 74058.8
210 5 1000000 75015.7
210 6 1000000 83418.6
210 7 1000000 95335.3
210 8 1000000 124354.3
210 9 1000000 205547.2
210 10 1000000 497577.5
235 0 1000000 138517.5
235 1 1000000 87384.9
235 2 1000000 66471.1
235 3 1000000 69430.9
235 4 1000000 73220.3
235 5 1000000 75694.3
235 6 1000000 82905.7
235 7 1000000 94904.8
235 8 1000000 126095.1
235 9 1000000 208898.9
235 10 1000000 498984.3
260 0 1000000 185275.7
260 1 1000000 104374.6
260 2 1000000 67459.4
260 3 1000000 75595.3
260 4 1000000 79818.9
260 5 1000000 80626.4
260 6 1000000 87519.4
260 7 1000000 98848.1
260 8 1000000 126185.6
260 9 1000000 200113.0
260 10 1000000 490684.1
285 0 1000000 184972.9
285 1 1000000 104899.1
