split_threshold max_recursion_depth n time
10 0 10000 6065.1
10 1 10000 8800.9
10 2 10000 8343.5
10 3 10000 9586.9
10 4 10000 12007.6
10 5 10000 19976.7
10 6 10000 32338.5
10 7 10000 60961.5
10 8 10000 139609.1
10 9 10000 290308.1
10 10 10000 582118.1
35 0 10000 5865.7
35 1 10000 6210.8
35 2 10000 6095.4
35 3 10000 6956.5
35 4 10000 9811.0
35 5 10000 14947.8
35 6 10000 27390.2
35 7 10000 48969.5
35 8 10000 123538.7
35 9 10000 275018.5
35 10 10000 277468.0
60 0 10000 4482.7
60 1 10000 4751.4
60 2 10000 5049.8
60 3 10000 7467.2
60 4 10000 7836.3
60 5 10000 12990.3
60 6 10000 27680.6
60 7 10000 47485.8
60 8 10000 128969.5
60 9 10000 121409.5
60 10 10000 124739.6
85 0 10000 5271.6
85 1 10000 4250.9
85 2 10000 4528.9
85 3 10000 5216.2
85 4 10000 7982.9
85 5 10000 13200.8
85 6 10000 26004.1
85 7 10000 51464.5
85 8 10000 47377.4
85 9 10000 56086.0
85 10 10000 49996.0
110 0 10000 4369.1
110 1 10000 4226.7
110 2 10000 4464.5
110 3 10000 5557.5
110 4 10000 9608.2
110 5 10000 14574.3
110 6 10000 28087.2
110 7 10000 57837.4
110 8 10000 49349.2
110 9 10000 49806.8
110 10 10000 50113.6
135 0 10000 4444.7
135 1 10000 4217.0
135 2 10000 4561.4
135 3 10000 5279.1
135 4 10000 9431.7
135 5 10000 13777.1
135 6 10000 27800.3
135 7 10000 58767.2
135 8 10000 48971.4
135 9 10000 50869.4
135 10 10000 55226.6
160 0 10000 4840.0
160 1 10000 4324.3
160 2 10000 4546.7
160 3 10000 5398.9
160 4 10000 7409.3
160 5 10000 13601.8
160 6 10000 29367.3
160 7 10000 25992.9
160 8 10000 26832.9
160 9 10000 27614.6
160 10 10000 26512.6
185 0 10000 5342.7
185 1 10000 4322.6
185 2 10000 4690.0
185 3 10000 6526.5
185 4 10000 8018.6
185 5 10000 13838.7
185 6 10000 26833.0
185 7 10000 28249.9
185 8 10000 25252.6
185 9 10000 25790.3
185 10 10000 25553.6
210 0 10000 5649.1
210 1 10000 4302.5
210 2 10000 4400.6
210 3 10000 7281.6
210 4 10000 7785.1
210 5 10000 12985.2
210 6 10000 25100.6
210 7 10000 26924.2
210 8 10000 28816.7
210 9 10000 28447.1
210 10 10000 29891.8
235 0 10000 5562.3
235 1 10000 4415.0
235 2 10000 4704.0
235 3 10000 12790.0
235 4 10000 8501.2
235 5 10000 14924.9
235 6 10000 26872.1
235 7 10000 25192.6
235 8 10000 28155.8
235 9 10000 29349.6
235 10 10000 27757.1
260 0 10000 5993.5
260 1 10000 4362.1
260 2 10000 4359.7
260 3 10000 5578.5
260 4 10000 7255.9
260 5 10000 15508.2
260 6 10000 29294.1
260 7 10000 27031.4
260 8 10000 24843.8
260 9 10000 27081.6
260 10 10000 25793.9
285 0 10000 5540.9
285 1 10000 4299.3
285 2 10000 4636.3
285 3 10000 5334.9
285 4 10000 8835.2
285 5 10000 13722.5
285 6 10000 30242.7
285 7 10000 26947.0
285 8 10000 27787.7
285 9 10000 27344.4
285 10 10000 25628.2
310 0 10000 4739.7
310 1 10000 4325.6
310 2 10000 4599.6
310 3 10000 6407.0
310 4 10000 8332.7
310 5 10000 14036.5
310 6 10000 28058.4
310 7 10000 27028.4
310 8 10000 27400.1
310 9 10000 26279.2
310 10 10000 24570.5
335 0 10000 6410.6
335 1 10000 4702.2
335 2 10000 4991.1
335 3 10000 6538.1
335 4 10000 7636.6
335 5 10000 12729.1
335 6 10000 12289.6
335 7 10000 12902.1
335 8 10000 12431.0
335 9 10000 12605.9
335 10 10000 15841.9
360 0 10000 5787.2
360 1 10000 4764.2
360 2 10000 5101.6
360 3 10000 6073.0
360 4 10000 8718.7
360 5 10000 12612.4
360 6 10000 11865.5
360 7 10000 12676.5
360 8 10000 11970.5
360 9 10000 15669.6
360 10 10000 13953.3
385 0 10000 5813.5
385 1 10000 4909.1
385 2 10000 5028.1
385 3 10000 6337.0
385 4 10000 7524.4
385 5 10000 13990.3
385 6 10000 12804.6
385 7 10000 14721.2
385 8 10000 11484.9
385 9 10000 15045.1
385 10 10000 13681.0
410 0 10000 6477.7
410 1 10000 4818.6
410 2 10000 4883.1
410 3 10000 6150.3
410 4 10000 8482.8
410 5 10000 14154.3
410 6 10000 14283.0
410 7 10000 14208.9
410 8 10000 13733.3
410 9 10000 13738.5
410 10 10000 11956.7
435 0 10000 6636.7
435 1 10000 4792.3
435 2 10000 5628.6
435 3 10000 6486.8
435 4 10000 8201.4
435 5 10000 12736.3
435 6 10000 13011.1
435 7 10000 14915.8
435 8 10000 12903.3
435 9 10000 16464.1
435 10 10000 13502.9
460 0 10000 6201.6
460 1 10000 4970.5
460 2 10000 5014.1
460 3 10000 5947.6
460 4 10000 7749.5
460 5 10000 15489.6
460 6 10000 14115.0
460 7 10000 13558.8
460 8 10000 14504.2
460 9 10000 11639.2
460 10 10000 15213.9
485 0 10000 6368.9
485 1 10000 4914.3
485 2 10000 5029.7
485 3 10000 5907.6
485 4 10000 9387.4
485 5 10000 12581.4
485 6 10000 14810.8
485 7 10000 14910.7
485 8 10000 11572.1
485 9 10000 11673.2
485 10 10000 11835.8
510 0 10000 5881.2
510 1 10000 4756.0
510 2 10000 5238.0
510 3 10000 6041.1
510 4 10000 9281.6
510 5 10000 12843.4
510 6 10000 13927.4
510 7 10000 15071.6
510 8 10000 14531.4
510 9 10000 13316.9
510 10 10000 13879.3
535 0 10000 5829.5
535 1 10000 4745.8
535 2 10000 4939.5
535 3 10000 6075.1
535 4 10000 7551.3
535 5 10000 13937.3
535 6 10000 13234.9
535 7 10000 11589.1
535 8 10000 14625.4
535 9 10000 13238.1
535 10 10000 14656.7
560 0 10000 5748.3
560 1 10000 4774.5
560 2 10000 5273.5
560 3 10000 5965.4
560 4 10000 8825.4
560 5 10000 15105.6
560 6 10000 12844.5
560 7 10000 15018.8
560 8 10000 12997.1
560 9 10000 13260.1
560 10 10000 13346.8
585 0 10000 6592.4
585 1 10000 4748.4
585 2 10000 4909.3
585 3 10000 6174.9
585 4 10000 8782.3
585 5 10000 13830.3
585 6 10000 13496.8
585 7 10000 15424.7
585 8 10000 14648.2
585 9 10000 13662.3
585 10 10000 14629.7
610 0 10000 5765.9
610 1 10000 4862.9
610 2 10000 4663.2
610 3 10000 7101.8
610 4 10000 9190.1
610 5 10000 13316.9
610 6 10000 15070.3
610 7 10000 14578.7
610 8 10000 14811.2
610 9 10000 12952.1
610 10 10000 13705.0
635 0 10000 7970.5
635 1 10000 5855.4
635 2 10000 5427.0
635 3 10000 8007.1
635 4 10000 9554.6
635 5 10000 9558.7
635 6 10000 9103.6
635 7 10000 8848.4
635 8 10000 8738.9
635 9 10000 8203.9
635 10 10000 9625.0
660 0 10000 7998.8
660 1 10000 5839.5
660 2 10000 5795.8
660 3 10000 7428.1
660 4 10000 9038.4
660 5 10000 8668.6
660 6 10000 9046.9
660 7 10000 9046.2
660 8 10000 9308.2
660 9 10000 8555.1
660 10 10000 8306.9
685 0 10000 8055.5
685 1 10000 5836.8
685 2 10000 5698.3
685 3 10000 7649.1
685 4 10000 9037.7
