split_threshold max_recursion_depth n time
610 1 1000 253498.5
610 2 1000 4331.3
610 3 1000 3443.7
610 4 1000 3544.5
610 5 1000 15700.8
610 6 1000 3490.2
610 7 1000 3516.5
610 8 1000 3432.9
610 9 1000 3420.6
610 10 1000 3433.5
635 0 1000 4435.3
635 1 1000 3437.5
635 2 1000 3475.0
635 3 1000 3559.7
635 4 1000 4403.8
635 5 1000 3532.6
635 6 1000 3532.4
635 7 1000 3589.8
635 8 1000 3548.1
635 9 1000 3480.1
635 10 1000 3724.4
660 0 1000 4351.5
660 1 1000 3469.8
660 2 1000 3532.5
660 3 1000 3579.9
660 4 1000 3382.5
660 5 1000 3450.2
660 6 1000 3438.8
660 7 1000 3429.3
660 8 1000 3360.7
660 9 1000 3833.9
660 10 1000 3397.8
685 0 1000 3591.6
685 1 1000 3377.4
685 2 1000 3405.0
685 3 1000 3485.5
685 4 1000 3380.1
685 5 1000 3456.4
685 6 1000 4575.3
685 7 1000 3392.6
685 8 1000 3425.2
685 9 1000 3399.9
685 10 1000 3391.3
710 0 1000 3442.5
710 1 1000 3473.4
710 2 1000 3461.9
710 3 1000 3427.0
710 4 1000 3487.3
710 5 1000 3405.9
710 6 1000 3546.5
710 7 1000 3562.1
710 8 1000 3515.3
710 9 1000 3576.8
710 10 1000 3460.7
735 0 1000 3449.5
735 1 1000 3456.3
735 2 1000 3491.8
735 3 1000 3423.3
735 4 1000 3468.0
735 5 1000 3433.3
735 6 1000 3507.6
735 7 1000 3431.4
735 8 1000 3582.6
735 9 1000 3431.9
735 10 1000 3475.9
760 0 1000 3690.9
760 1 1000 3489.3
760 2 1000 3443.9
760 3 1000 3799.2
760 4 1000 4275.7
760 5 1000 3486.1
760 6 1000 5839.8
760 7 1000 3500.2
760 8 1000 4579.3
760 9 1000 3571.8
760 10 1000 3540.0
785 0 1000 3512.5
785 1 1000 3589.8
785 2 1000 3504.3
785 3 1000 3518.4
785 4 1000 3540.6
785 5 1000 3570.7
785 6 1000 4567.5
785 7 1000 3535.1
785 8 1000 3592.2
785 9 1000 3568.0
785 10 1000 3595.3
810 0 1000 3572.4
810 1 1000 3576.2
810 2 1000 3528.5
810 3 1000 3503.9
810 4 1000 3562.5
810 5 1000 3469.6
810 6 1000 3523.1
810 7 1000 3547.9
810 8 1000 3579.0
810 9 1000 3571.8
810 10 1000 3539.0
835 0 1000 3515.4
835 1 1000 3626.4
835 2 1000 3521.4
835 3 1000 3576.9
835 4 1000 3587.5
835 5 1000 3610.3
835 6 1000 3510.7
835 7 1000 3589.4
835 8 1000 3544.3
835 9 1000 3485.4
835 10 1000 3503.3
860 0 1000 3518.8
860 1 1000 3527.3
860 2 1000 3562.1
860 3 1000 3546.6
860 4 1000 3584.0
860 5 1000 3574.8
860 6 1000 3574.7
860 7 1000 3966.8
860 8 1000 3532.8
860 9 1000 3523.1
860 10 1000 3604.8
885 0 1000 4482.3
885 1 1000 3509.4
885 2 1000 3634.2
885 3 1000 3563.8
885 4 1000 3569.3
885 5 1000 3501.7
885 6 1000 3555.6
885 7 1000 3603.5
885 8 1000 3534.3
885 9 1000 3490.3
885 10 1000 3514.9
910 0 1000 3525.0
910 1 1000 3600.8
910 2 1000 3590.9
910 3 1000 3480.9
910 4 1000 3591.2
910 5 1000 3580.5
910 6 1000 3530.7
910 7 1000 3491.3
910 8 1000 3526.6
910 9 1000 3519.3
910 10 1000 3597.9
935 0 1000 3598.2
935 1 1000 3611.2
935 2 1000 3605.1
935 3 1000 4318.5
935 4 1000 3560.1
935 5 1000 3557.0
935 6 1000 3566.9
935 7 1000 3523.0
935 8 1000 3502.1
935 9 1000 3611.7
935 10 1000 3519.1
960 0 1000 3613.7
960 1 1000 3592.7
960 2 1000 4401.9
960 3 1000 3601.1
960 4 1000 3559.4
960 5 1000 3572.9
960 6 1000 3469.3
960 7 1000 3621.1
960 8 1000 4413.9
960 9 1000 3584.4
960 10 1000 3665.9
985 0 1000 3534.5
985 1 1000 3539.0
985 2 1000 3594.6
985 3 1000 3569.1
985 4 1000 3571.0
985 5 1000 3497.9
985 6 1000 3531.1
985 7 1000 3616.9
985 8 1000 3596.6
985 9 1000 3598.7
985 10 1000 3594.1
1010 0 1000 4099.3
1010 1 1000 4068.9
1010 2 1000 3985.2
1010 3 1000 4002.4
1010 4 1000 4002.8
1010 5 1000 3902.7
1010 6 1000 3921.1
1010 7 1000 4040.0
1010 8 1000 3937.5
1010 9 1000 3895.7
1010 10 1000 4098.7
1035 0 1000 4048.6
1035 1 1000 4045.8
1035 2 1000 3998.8
1035 3 1000 3957.7
1035 4 1000 4047.9
1035 5 1000 4803.7
1035 6 1000 4087.7
1035 7 1000 4010.0
1035 8 1000 3946.2
1035 9 1000 3916.2
1035 10 1000 3954.9
1060 0 1000 4092.5
1060 1 1000 3964.8
1060 2 1000 3912.5
1060 3 1000 4036.7
1060 4 1000 3923.6
1060 5 1000 3910.8
1060 6 1000 4050.4
1060 7 1000 4049.5
1060 8 1000 4167.7
1060 9 1000 4060.3
1060 10 1000 5035.9
1085 0 1000 4065.8
1085 1 1000 4704.4
1085 2 1000 4027.8
1085 3 1000 4081.3
1085 4 1000 4002.5
1085 5 1000 4031.8
1085 6 1000 3912.4
1085 7 1000 3973.6
1085 8 1000 4824.9
1085 9 1000 4005.4
1085 10 1000 4606.8
1110 0 1000 4038.7
1110 1 1000 6333.4
1110 2 1000 4000.0
1110 3 1000 3938.1
1110 4 1000 3919.2
1110 5 1000 3911.5
1110 6 1000 4033.2
1110 7 1000 4045.4
1110 8 1000 4063.7
1110 9 1000 4168.9
1110 10 1000 4019.2
1135 0 1000 3906.2
1135 1 1000 3909.8
1135 2 1000 3964.0
1135 3 1000 3954.3
1135 4 1000 4034.9
1135 5 1000 3940.4
1135 6 1000 4787.4
1135 7 1000 3900.2
1135 8 1000 4093.2
1135 9 1000 4179.2
1135 10 1000 4075.9
1160 0 1000 3990.2
1160 1 1000 4024.3
1160 2 1000 4012.1
1160 3 1000 3953.3
1160 4 1000 4073.7
