split_threshold max_recursion_depth n time
610 1 1000 3390.1
610 2 1000 3705.6
610 3 1000 3539.4
610 4 1000 3461.9
610 5 1000 3410.4
610 6 1000 3414.8
610 7 1000 3491.8
610 8 1000 3450.8
610 9 1000 3538.0
610 10 1000 3376.5
635 0 1000 3449.3
635 1 1000 3558.6
635 2 1000 3396.6
635 3 1000 3435.7
635 4 1000 3477.7
635 5 1000 3527.8
635 6 1000 3493.8
635 7 1000 3405.7
635 8 1000 3526.3
635 9 1000 3365.7
635 10 1000 3441.6
660 0 1000 3474.7
660 1 1000 3466.6
660 2 1000 3487.6
660 3 1000 3384.2
660 4 1000 3415.0
660 5 1000 3473.1
660 6 1000 3513.4
660 7 1000 3467.6
660 8 1000 3504.6
660 9 1000 3477.2
660 10 1000 3508.1
685 0 1000 3505.8
685 1 1000 3489.8
685 2 1000 3451.5
685 3 1000 3435.5
685 4 1000 3403.8
685 5 1000 3474.3
685 6 1000 3449.9
685 7 1000 3613.7
685 8 1000 3379.4
685 9 1000 3414.9
685 10 1000 3417.2
710 0 1000 3521.7
710 1 1000 3412.2
710 2 1000 3441.2
710 3 1000 3471.6
710 4 1000 3395.2
710 5 1000 4546.9
710 6 1000 3413.5
710 7 1000 3495.3
710 8 1000 3433.1
710 9 1000 3413.5
710 10 1000 3499.8
735 0 1000 3486.2
735 1 1000 3513.5
735 2 1000 3393.4
735 3 1000 3459.2
735 4 1000 3462.2
735 5 1000 3486.1
735 6 1000 3460.9
735 7 1000 3485.0
735 8 1000 3390.6
735 9 1000 3411.0
735 10 1000 3417.9
760 0 1000 3436.6
760 1 1000 3513.5
760 2 1000 3583.4
760 3 1000 3396.4
760 4 1000 3669.2
760 5 1000 3430.4
760 6 1000 3540.6
760 7 1000 3492.6
760 8 1000 3473.6
760 9 1000 3416.6
760 10 1000 3425.0
785 0 1000 4326.3
785 1 1000 3451.1
785 2 1000 3468.6
785 3 1000 3377.8
785 4 1000 3452.9
785 5 1000 3469.7
785 6 1000 3499.8
785 7 1000 3490.5
785 8 1000 3687.7
785 9 1000 3481.2
785 10 1000 4341.1
810 0 1000 4553.2
810 1 1000 3483.3
810 2 1000 3472.0
810 3 1000 4518.2
810 4 1000 3499.3
810 5 1000 3442.8
810 6 1000 3507.8
810 7 1000 3510.2
810 8 1000 3738.0
810 9 1000 3433.5
810 10 1000 3430.6
835 0 1000 3453.3
835 1 1000 3470.8
835 2 1000 3486.5
835 3 1000 3514.9
835 4 1000 3431.1
835 5 1000 3401.4
835 6 1000 3455.8
835 7 1000 3426.4
835 8 1000 3415.2
835 9 1000 3404.9
835 10 1000 4335.6
860 0 1000 4390.7
860 1 1000 3436.4
860 2 1000 3407.6
860 3 1000 3860.4
860 4 1000 3506.7
860 5 1000 3467.2
860 6 1000 3451.9
860 7 1000 3447.0
860 8 1000 3477.0
860 9 1000 3466.7
860 10 1000 3537.4
885 0 1000 3553.5
885 1 1000 3440.5
885 2 1000 3456.8
885 3 1000 3464.3
885 4 1000 3619.7
885 5 1000 3369.4
885 6 1000 3439.8
885 7 1000 3485.3
885 8 1000 3417.3
885 9 1000 3584.1
885 10 1000 3391.0
910 0 1000 3510.1
910 1 1000 3381.5
910 2 1000 3518.6
910 3 1000 3505.1
910 4 1000 3505.9
910 5 1000 3409.6
910 6 1000 3432.4
910 7 1000 3467.0
910 8 1000 3481.8
910 9 1000 3484.7
910 10 1000 3486.2
935 0 1000 4496.4
935 1 1000 3542.3
935 2 1000 3392.2
935 3 1000 3431.7
935 4 1000 3401.8
935 5 1000 3495.0
935 6 1000 3505.7
935 7 1000 3478.2
935 8 1000 3486.9
935 9 1000 3577.1
935 10 1000 3486.4
960 0 1000 3542.9
960 1 1000 3473.5
960 2 1000 3480.2
960 3 1000 3485.2
960 4 1000 3433.0
960 5 1000 3520.1
960 6 1000 5018.4
960 7 1000 3484.8
960 8 1000 3455.6
960 9 1000 3477.0
960 10 1000 3449.9
985 0 1000 4305.9
985 1 1000 3424.3
985 2 1000 3497.3
985 3 1000 3388.6
985 4 1000 3490.8
985 5 1000 3422.1
985 6 1000 3433.4
985 7 1000 3433.6
985 8 1000 3463.9
985 9 1000 3475.7
985 10 1000 3444.8
1010 0 1000 4187.8
1010 1 1000 3815.0
1010 2 1000 4662.2
1010 3 1000 3864.9
1010 4 1000 3962.7
1010 5 1000 3940.4
1010 6 1000 4594.4
1010 7 1000 3839.4
1010 8 1000 3884.6
1010 9 1000 3884.4
1010 10 1000 3905.0
1035 0 1000 4657.6
1035 1 1000 4763.0
1035 2 1000 3959.0
1035 3 1000 3833.0
1035 4 1000 3917.5
1035 5 1000 3958.2
1035 6 1000 3932.2
1035 7 1000 3899.3
1035 8 1000 4122.6
1035 9 1000 4776.5
1035 10 1000 4605.4
1060 0 1000 3890.3
1060 1 1000 3875.5
1060 2 1000 3994.0
1060 3 1000 3901.3
1060 4 1000 3918.9
1060 5 1000 3809.3
1060 6 1000 3846.9
1060 7 1000 3892.1
1060 8 1000 3937.8
1060 9 1000 4218.6
1060 10 1000 3843.3
1085 0 1000 3824.3
1085 1 1000 3835.5
1085 2 1000 4587.5
1085 3 1000 4967.9
1085 4 1000 4632.0
1085 5 1000 3856.3
1085 6 1000 3942.0
1085 7 1000 3931.2
1085 8 1000 3925.1
1085 9 1000 4746.9
1085 10 1000 3974.8
1110 0 1000 3863.2
1110 1 1000 3994.8
1110 2 1000 3904.5
1110 3 1000 3920.9
1110 4 1000 3862.8
1110 5 1000 3945.4
1110 6 1000 3909.4
1110 7 1000 3895.9
1110 8 1000 3806.3
1110 9 1000 3901.3
1110 10 1000 4564.5
1135 0 1000 3839.1
1135 1 1000 3976.5
1135 2 1000 3950.9
1135 3 1000 4681.3
1135 4 1000 4767.3
1135 5 1000 3904.9
1135 6 1000 3978.4
1135 7 1000 3957.3
1135 8 1000 3927.7
1135 9 1000 3863.6
1135 10 1000 3958.4
1160 0 1000 3935.5
1160 1 1000 3957.3
1160 2 1000 3973.9
1160 3 1000 3961.4
1160 4 1000 4080.6
1160 5 1000 3879.2
1160 6 1000 3972.4
1160 7 1000 4705.6
1160 8 1000 3896.8
1160 9 1000 3897.9
1160 10 1000 3862.9
1185 0 1000 3845.4
1185 1 1000 3971.3
1185 2 1000 3912.2
1185 3 1000 4676.0
1185 4 1000 3920.2
1185 5 1000 3982.9
1185 6 1000 4723.5
1185 7 1000 3892.0
1185 8 1000 4714.0
1185 9 1000 4745.9
1185 10 1000 3828.3
1210 0 1000 3806.0
1210 1 1000 3843.7
1210 2 1000 3970.7
1210 3 1000 3883.5
1210 4 1000 3952.7
1210 5 1000 3908.6
1210 6 1000 3974.0
1210 7 1000 3949.5
1210 8 1000 3861.6
1210 9 1000 3928.5
1210 10 1000 3866.1
1235 0 1000 3823.1
1235 1 1000 3972.0
1235 2 1000 3933.0
1235 3 1000 3902.3
1235 4 1000 3884.1
1235 5 1000 3981.0
1235 6 1000 3845.1
1235 7 1000 3904.9
1235 8 1000 4708.5
1235 9 1000 3902.4
1235 10 1000 4020.6
1260 0 1000 3909.8
1260 1 1000 3965.2
1260 2 1000 3905.2
1260 3 1000 3902.6
1260 4 1000 3922.3
1260 5 1000 3861.1
1260 6 1000 4109.2
1260 7 1000 3915.7
1260 8 1000 3953.6
1260 9 1000 3890.1
1260 10 1000 4014.7
1285 0 1000 3944.6
1285 1 1000 3967.2
1285 2 1000 3884.7
1285 3 1000 3980.2
1285 4 1000 4067.6
1285 5 1000 3882.2
1285 6 1000 4679.7
1285 7 1000 3945.3
1285 8 1000 3915.2
1285 9 1000 3884.5
1285 10 1000 3954.1
1310 0 1000 3791.0
1310 1 1000 3963.3
1310 2 1000 3907.0
1310 3 1000 3945.0
1310 4 1000 3959.3
1310 5 1000 4747.7
1310 6 1000 3843.6
1310 7 1000 3937.0
1310 8 1000 4085.0
1310 9 1000 4755.0
1310 10 1000 3936.1
1335 0 1000 3793.6
1335 1 1000 4690.7
1335 2 1000 3852.9
1335 3 1000 3894.1
1335 4 1000 5910.8
1335 5 1000 3848.0
1335 6 1000 4078.7
1335 7 1000 3954.8
1335 8 1000 4007.9
1335 9 1000 3964.1
1335 10 1000 3829.1
1360 0 1000 4730.1
1360 1 1000 3918.2
1360 2 1000 3844.1
1360 3 1000 3908.5
1360 4 1000 4068.9
1360 5 1000 4111.9
1360 6 1000 3843.3
1360 7 1000 3851.9
1360 8 1000 3931.1
1360 9 1000 3889.1
1360 10 1000 3847.1
1385 0 1000 4691.2
1385 1 1000 3850.2
1385 2 1000 3930.6
1385 3 1000 4844.8
1385 4 1000 3867.1
1385 5 1000 3977.0
1385 6 1000 3851.3
1385 7 1000 4746.6
1385 8 1000 3922.8
1385 9 1000 3903.3
1385 10 1000 3899.4
1410 0 1000 3909.1
1410 1 1000 3935.1
1410 2 1000 3950.4
1410 3 1000 3954.6
1410 4 1000 3914.6
1410 5 1000 3833.4
1410 6 1000 3849.6
1410 7 1000 4815.1
1410 8 1000 3941.6
1410 9 1000 3951.3
1410 10 1000 3908.2
1435 0 1000 3939.0
1435 1 1000 3935.9
1435 2 1000 3847.0
1435 3 1000 3821.4
1435 4 1000 3919.6
1435 5 1000 3843.9
1435 6 1000 3952.7
1435 7 1000 4724.1
1435 8 1000 4053.0
1435 9 1000 3935.0
1435 10 1000 4584.8
1460 0 1000 3915.7
1460 1 1000 4913.4
1460 2 1000 3958.5
1460 3 1000 3919.5
1460 4 1000 3924.7
1460 5 1000 3859.5
1460 6 1000 3909.8
1460 7 1000 3882.8
1460 8 1000 3830.6
1460 9 1000 4705.7
1460 10 1000 3824.2
1485 0 1000 3890.9
1485 1 1000 4038.5
1485 2 1000 3981.0
1485 3 1000 4057.8
1485 4 1000 4975.5
1485 5 1000 3838.0
1485 6 1000 4710.3
1485 7 1000 3938.3
1485 8 1000 3973.3
1485 9 1000 4650.4
1485 10 1000 4019.7
1510 0 1000 4611.7
1510 1 1000 4006.6
1510 2 1000 3999.8
1510 3 1000 3872.5
1510 4 1000 4647.8
1510 5 1000 3938.3
1510 6 1000 3949.0
1510 7 1000 3939.8
1510 8 1000 3982.9
1510 9 1000 3943.4
1510 10 1000 4790.6
1535 0 1000 3821.3
1535 1 1000 3966.4
1535 2 1000 3810.6
1535 3 1000 4758.3
1535 4 1000 4010.6
1535 5 1000 3887.6
1535 6 1000 3900.5
1535 7 1000 3938.3
1535 8 1000 3963.5
1535 9 1000 3870.6
1535 10 1000 3916.5
1560 0 1000 3953.2
1560 1 1000 3816.2
1560 2 1000 3978.9
1560 3 1000 3926.1
1560 4 1000 3803.9
1560 5 1000 4769.0
1560 6 1000 4640.2
1560 7 1000 4065.1
1560 8 1000 4670.5
1560 9 1000 3972.1
1560 10 1000 3969.9
1585 0 1000 4964.0
1585 1 1000 3942.0
1585 2 1000 3870.2
1585 3 1000 4764.0
1585 4 1000 3977.9
1585 5 1000 4058.6
1585 6 1000 3974.9
1585 7 1000 3954.6
1585 8 1000 3850.2
1585 9 1000 4015.3
1585 10 1000 3931.3
1610 0 1000 3820.8
1610 1 1000 3837.1
1610 2 1000 3938.2
1610 3 1000 3935.6
1610 4 1000 3858.0
1610 5 1000 3887.9
1610 6 1000 3897.9
1610 7 1000 3840.4
1610 8 1000 3946.6
1610 9 1000 3821.5
1610 10 1000 4709.9
1635 0 1000 3821.3
1635 1 1000 3903.3
1635 2 1000 3846.8
1635 3 1000 4734.6
1635 4 1000 3909.4
1635 5 1000 4058.4
1635 6 1000 3894.0
1635 7 1000 3820.7
1635 8 1000 3918.8
1635 9 1000 3996.6
1635 10 1000 3974.9
1660 0 1000 3956.7
1660 1 1000 3899.6
1660 2 1000 4018.6
1660 3 1000 3927.3
1660 4 1000 3923.4
1660 5 1000 4030.7
1660 6 1000 4050.1
1660 7 1000 3977.3
1660 8 1000 3917.7
1660 9 1000 4696.2
1660 10 1000 3895.0
1685 0 1000 3925.1
1685 1 1000 3815.0
1685 2 1000 3956.9
1685 3 1000 3957.6
1685 4 1000 3971.3
1685 5 1000 10686.7
1685 6 1000 4827.0
1685 7 1000 3931.2
1685 8 1000 3957.3
1685 9 1000 3992.1
1685 10 1000 4870.6
1710 0 1000 4025.3
1710 1 1000 3931.6
1710 2 1000 3936.8
1710 3 1000 4014.3
1710 4 1000 3900.6
1710 5 1000 3944.9
1710 6 1000 3947.1
1710 7 1000 3873.5
1710 8 1000 3979.1
1710 9 1000 3929.2
1710 10 1000 3960.8
1735 0 1000 3964.9
1735 1 1000 3877.1
1735 2 1000 3819.6
1735 3 1000 3971.0
1735 4 1000 3945.7
1735 5 1000 3961.5
1735 6 1000 3922.0
1735 7 1000 3963.2
1735 8 1000 3834.2
1735 9 1000 3883.7
1735 10 1000 3972.5
1760 0 1000 4730.6
1760 1 1000 3897.3
1760 2 1000 3969.4
1760 3 1000 3961.0
1760 4 1000 3972.3
1760 5 1000 3953.9
1760 6 1000 3979.1
1760 7 1000 4086.4
1760 8 1000 3908.7
1760 9 1000 3920.1
1760 10 1000 4002.4
1785 0 1000 3906.4
1785 1 1000 3928.5
1785 2 1000 4028.5
1785 3 1000 3928.1
1785 4 1000 3884.4
1785 5 1000 3853.8
1785 6 1000 3992.7
1785 7 1000 3856.8
1785 8 1000 3920.4
1785 9 1000 4728.4
1785 10 1000 3928.1
1810 0 1000 3893.5
1810 1 1000 3983.5
1810 2 1000 4756.0
1810 3 1000 3929.9
1810 4 1000 3923.0
1810 5 1000 4728.8
1810 6 1000 4123.7
1810 7 1000 3956.0
1810 8 1000 3910.4
1810 9 1000 3856.4
1810 10 1000 4905.3
1835 0 1000 3941.0
1835 1 1000 3995.6
1835 2 1000 3912.8
1835 3 1000 3849.9
1835 4 1000 3999.0
1835 5 1000 3877.2
1835 6 1000 3942.6
1835 7 1000 3968.6
1835 8 1000 3962.3
1835 9 1000 3981.8
1835 10 1000 4014.6
1860 0 1000 3934.8
1860 1 1000 3994.3
1860 2 1000 4687.3
1860 3 1000 3986.6
1860 4 1000 3851.5
1860 5 1000 3958.3
1860 6 1000 4861.0
1860 7 1000 4714.7
1860 8 1000 3881.4
1860 9 1000 3914.0
1860 10 1000 3883.2
1885 0 1000 3975.3
1885 1 1000 3992.3
1885 2 1000 3924.8
1885 3 1000 3937.5
1885 4 1000 3973.6
1885 5 1000 3943.2
1885 6 1000 3947.3
1885 7 1000 3923.4
1885 8 1000 3980.4
1885 9 1000 3966.2
1885 10 1000 3984.5
1910 0 1000 3941.2
1910 1 1000 4038.9
1910 2 1000 4019.7
1910 3 1000 3905.4
1910 4 1000 3938.9
1910 5 1000 4002.6
1910 6 1000 3936.9
1910 7 1000 3933.0
1910 8 1000 4106.6
1910 9 1000 3930.5
1910 10 1000 4016.0
1935 0 1000 3940.1
1935 1 1000 3907.0
1935 2 1000 3920.0
1935 3 1000 4035.3
1935 4 1000 3928.0
1935 5 1000 4115.4
1935 6 1000 3970.6
1935 7 1000 3880.5
1935 8 1000 3925.1
1935 9 1000 3970.7
1935 10 1000 3917.8
1960 0 1000 4772.1
1960 1 1000 3992.7
1960 2 1000 3862.7
1960 3 1000 4002.3
1960 4 1000 4865.4
1960 5 1000 3945.1
1960 6 1000 3948.5
1960 7 1000 4000.6
1960 8 1000 4057.3
1960 9 1000 4003.1
1960 10 1000 3996.8
1985 0 1000 5041.2
1985 1 1000 3972.7
1985 2 1000 3804.8
1985 3 1000 3957.8
1985 4 1000 4039.8
1985 5 1000 3923.1
1985 6 1000 3929.9
1985 7 1000 3938.2
1985 8 1000 3960.6
1985 9 1000 3963.0
1985 10 1000 3967.9
2010 0 1000 3946.1
2010 1 1000 3869.6
2010 2 1000 3985.3
2010 3 1000 4664.1
2010 4 1000 3938.3
2010 5 1000 3971.6
2010 6 1000 3974.4
2010 7 1000 3988.8
2010 8 1000 3907.1
2010 9 1000 3936.5
2010 10 1000 4001.9
